"old_url","old_slug","new_url","new_slug","post_id","post_type","title","primary_keyword","search_intent","topic_cluster","gsc_clicks_3m","gsc_impressions_3m","traffic_risk","redirect_required","canonical_update_required","internal_links_update_required","sitemap_update_required","status","notes"
"http://jus-tice.co.il/articles/%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%96%D7%9E%D7%A0%D7%99-%D7%A9%D7%94%D7%95%D7%AA-%D7%9E%D7%99%D7%A0%D7%95%D7%99-%D7%9E%D7%AA%D7%90%D7%9D-%D7%94%D7%95%D7%A8%D7%99-%D7%A2%D7%9D-%D7%A1%D7%9E%D7%9B/","חלוקת-זמני-שהות-מינוי-מתאם-הורי-עם-סמכ","https://jus-tice.co.il/child-custody/","child-custody","8338","articles","חלוקת זמני שהות: מינוי מתאם הורי עם סמכויות הכרעה (תלה”מ 9267-12-21)","","","family-law-divorce","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
"http://jus-tice.co.il/articles/%D7%AA%D7%A2-45543-11-21-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A6%D7%95-%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9C%D7%90%D7%97%D7%A8-%D7%92%D7%99/","תע-45543-11-21-בקשה-לביטול-צו-קיום-צוואה-לאחר-גי","https://jus-tice.co.il/will/","will","8334","articles","ת”ע 45543-11-21 בקשה לביטול צו קיום צוואה לאחר גילוי צוואה קיימת","","","inheritance-wills","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
"http://jus-tice.co.il/%D7%A9%D7%95%D7%A4%D7%98%D7%AA-%D7%99%D7%A4%D7%A2%D7%AA-%D7%A9%D7%A7%D7%93%D7%99-%D7%A9%D7%A5-%D7%A4%D7%A1%D7%93-%D7%91%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%A1%D7%99%D7%9C%D7%95%D7%A7-%D7%99%D7%93-%D7%91%D7%9E%D7%A9%D7%A7-%D7%A9%D7%9C-%D7%99%D7%93%D7%95%D7%A2%D7%99%D7%9D-%D7%91%D7%A6%D7%99%D7%91%D7%95%D7%A8-%D7%AA%D7%9C%D7%94%D7%9E-41769-11-19/","שופטת-יפעת-שקדי-שץ-פסד-בחלוקת-זכויות-וסילוק-יד-במשק-של-ידועים-בציבור-תלהמ-41769-11-19","","NEEDS_ENGLISH_SLUG_REVIEW","8332","articles","שופטת יפעת שקדי שץ: פס”ד בחלוקת זכויות וסילוק יד במשק של ידועים בציבור (תלה”מ 41769-11-19)","","","family-law-divorce","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","NEEDS_EDITORIAL_SLUG_MAPPING","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED"
"http://jus-tice.co.il/%D7%9E%D7%94-%D7%9C%D7%A2%D7%A9%D7%95%D7%AA-%D7%93%D7%91%D7%A8-%D7%A8%D7%90%D7%A9%D7%95%D7%9F-%D7%90%D7%9D-%D7%A0%D7%A4%D7%92%D7%A2%D7%AA-%D7%9E%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA/","מה-לעשות-דבר-ראשון-אם-נפגעת-מרשלנות-רפואית","https://jus-tice.co.il/medical-malpractice-lawyer/","medical-malpractice-lawyer","8321","articles","מה לעשות דבר ראשון אם נפגעת מרשלנות רפואית","","","medical-malpractice","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
"http://jus-tice.co.il/%D7%9E%D7%94%D7%95-%D7%A8%D7%95%D7%A4%D7%90-%D7%9E%D7%94-%D7%AA%D7%A4%D7%A7%D7%99%D7%93%D7%95-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA%D7%99%D7%95-%D7%94%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99%D7%95%D7%AA/","מהו-רופא-מה-תפקידו-וחובותיו-המקצועיות","","NEEDS_ENGLISH_SLUG_REVIEW","8318","articles","מהו רופא מה תפקידו וחובותיו המקצועיות","","","medical-malpractice","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","NEEDS_EDITORIAL_SLUG_MAPPING","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED"
"http://jus-tice.co.il/%D7%98%D7%99%D7%A4%D7%99%D7%9D-%D7%9C%D7%A2%D7%95%D7%93-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%94%D7%9B%D7%A0%D7%A1-%D7%9C%D7%9E%D7%93%D7%A8%D7%99%D7%9B%D7%99%D7%9D-%D7%93%D7%99%D7%A8%D7%95%D7%92-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%A2%D7%95%D7%9C%D7%9D/","טיפים-לעוד-כיצד-להכנס-למדריכים-דירוג-עורכי-הדין-המובילים-בעעולם","","NEEDS_ENGLISH_SLUG_REVIEW","8310","articles","טיפים לעו”ד כיצד להכנס למדריכים דירוג עורכי הדין המובילים בעולם","","","needs-classification","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","NEEDS_EDITORIAL_SLUG_MAPPING","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED"
"http://jus-tice.co.il/accountant/","accountant","https://jus-tice.co.il/accountant/","accountant","8299","articles","מה זה רואה חשבון? כמה עולה? כיצד להוזיל עלויות","","","needs-classification","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","KEEP_CURRENT_CLEAN_SLUG","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED"
"http://jus-tice.co.il/%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%95%D7%AA%D7%A4%D7%A7%D7%99%D7%93%D7%9D-%D7%A9%D7%9C-%D7%A2%D7%93%D7%99%D7%9D-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D-%D7%9B%D7%99%D7%A6%D7%93-%D7%A2%D7%93%D7%95%D7%AA-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D-%D7%99%D7%9B%D7%95%D7%9C%D7%94-%D7%9C%D7%A2%D7%96%D7%95%D7%A8-%D7%9C%D7%A7%D7%95%D7%A8%D7%91%D7%A0%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%9C%D7%97%D7%A4%D7%A9-%D7%A6%D7%93%D7%A7/","רשלנות-רפואית-ותפקידם-של-עדים-מומחים-כיצד-עדות-מומחים-יכולה-לעזור-לקורבנות-רשלנות-לחפש-צדק","https://jus-tice.co.il/medical-malpractice-lawyer/","medical-malpractice-lawyer","8295","articles","רשלנות רפואית ותפקידם של עדים מומחים: כיצד עדות מומחים יכולה לעזור לקורבנות רשלנות לחפש צדק","","","medical-malpractice","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
"http://jus-tice.co.il/%D7%94%D7%A2%D7%9C%D7%95%D7%99%D7%95%D7%AA-%D7%94%D7%A0%D7%A1%D7%AA%D7%A8%D7%95%D7%AA-%D7%A9%D7%9C-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%9B%D7%99%D7%A6%D7%93-%D7%9E%D7%98%D7%95%D7%A4%D7%9C%D7%99%D7%9D-%D7%95%D7%9E%D7%A9%D7%A4%D7%97%D7%95%D7%AA-%D7%9E%D7%95%D7%A9%D7%A4%D7%A2%D7%99%D7%9D-%D7%9E%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A9%D7%9C-%D7%AA%D7%A2%D7%A9%D7%99%D7%99%D7%AA-%D7%94%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA/","העלויות-הנסתרות-של-רשלנות-רפואית-כיצד-מטופלים-ומשפחות-מושפעים-מרשלנות-של-תעשיית-הבריאות","https://jus-tice.co.il/medical-malpractice-lawyer/","medical-malpractice-lawyer","8292","articles","העלויות הנסתרות של רשלנות רפואית: כיצד מטופלים ומשפחות מושפעים מרשלנות של תעשיית הבריאות","","","medical-malpractice","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
"http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%A9%D7%9B%D7%A8-%D7%9B%D7%9E%D7%94-%D7%9E%D7%A8%D7%95%D7%95%D7%99%D7%97-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C/","עורך-דין-פלילי-שכר-כמה-מרוויח-עוד-פלילי-בישראל","https://jus-tice.co.il/criminal-lawyer/","criminal-lawyer","8282","articles","עורך דין פלילי שכר | כמה מרוויח עו”ד פלילי בישראל","","","criminal-law","UNKNOWN","UNKNOWN","UNKNOWN","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","YES_AFTER_APPROVAL","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED;duplicate_target_slug"
