"cluster","artifact_type","artifact","status","severity","detail","rows","required_columns","missing_columns","next_step"
"Criminal Law","export-summary","reports\gsc\criminal-law-2026-05-22\criminal-law-summary.json","BLOCKED_MISSING_FILE","BLOCKED","Required JSON summary is missing.","0","generatedAt|siteUrl|startDate|endDate|outputDir|safety|criminalPageRows|criminalQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","generatedAt|siteUrl|startDate|endDate|outputDir|safety|criminalPageRows|criminalQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","Regenerate the matching export or decision map."
"Criminal Law","decision-map","reports\criminal-gsc-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","25","group|path|mapped_target|role_or_topic|live_or_route_status|gsc_clicks|gsc_impressions|gsc_position|metric_source|risk|proposed_action|required_before_action|blocked_actions|status","","Use this artifact only together with the matching focused decision-map summary."
"Criminal Law","protected-decision-map","reports\criminal-protected-url-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","20","group|path|mapped_target|role_or_topic|live_or_route_status|gsc_clicks|gsc_impressions|gsc_position|metric_source|risk|proposed_action|required_before_action|blocked_actions|status","","Use this artifact only together with the matching focused decision-map summary."
"Criminal Law","cannibalization-decision-map","reports\criminal-cannibalization-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","8","source|query|page_count|total_clicks|total_impressions|pages|positions|risk|proposed_action|status","","Use this artifact only together with the matching focused decision-map summary."
"Criminal Law","decision-map-summary","reports\criminal-gsc-decision-map-2026-05-22.json","BLOCKED_DECISION_MAP_NOT_FOCUSED","BLOCKED","Decision-map summary is not from a focused GSC export. inputMode=BASELINE_DASHBOARD_NOT_FINAL; finality=NOT_FINAL_BASELINE_FROM_DASHBOARD_RUN_FOCUSED_GSC_EXPORT_NEXT.","0","generatedAt|inputMode|reportDate|finality|outputs|targetRows|protectedRows|cannibalizationRows","","Run the real focused GSC export and rebuild the decision map before using it."
"Medical Malpractice","export-directory","reports\gsc\medical-malpractice-2026-05-22","BLOCKED_EXPORT_DIRECTORY_MISSING","BLOCKED","Focused export directory is missing for this report date.","0","","","Run .\tools\gsc\run-priority-cluster-gsc-exports.ps1 after OAuth setup."
"Medical Malpractice","export-pages","reports\gsc\medical-malpractice-2026-05-22\medical-malpractice-pages.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","role|path|page|clicks|impressions|ctr|position","role|path|page|clicks|impressions|ctr|position","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Medical Malpractice","export-query-page","reports\gsc\medical-malpractice-2026-05-22\medical-malpractice-query-page.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","match_type|query|path|page|clicks|impressions|ctr|position","match_type|query|path|page|clicks|impressions|ctr|position","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Medical Malpractice","export-cannibalization","reports\gsc\medical-malpractice-2026-05-22\medical-malpractice-cannibalization.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","query|page_count|total_clicks|total_impressions|pages|positions|decision_use","query|page_count|total_clicks|total_impressions|pages|positions|decision_use","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Medical Malpractice","export-protected-sources","reports\gsc\medical-malpractice-2026-05-22\medical-malpractice-protected-sources.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","path|status|clicks|impressions|ctr|position|risk_note","path|status|clicks|impressions|ctr|position|risk_note","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Medical Malpractice","export-summary","reports\gsc\medical-malpractice-2026-05-22\medical-malpractice-summary.json","BLOCKED_MISSING_FILE","BLOCKED","Required JSON summary is missing.","0","generatedAt|siteUrl|startDate|endDate|outputDir|safety|medicalPageRows|medicalQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","generatedAt|siteUrl|startDate|endDate|outputDir|safety|medicalPageRows|medicalQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","Regenerate the matching export or decision map."
"Medical Malpractice","decision-map","reports\medical-malpractice-gsc-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","187","group|path|mapped_target|role_or_topic|live_or_route_status|gsc_clicks|gsc_impressions|gsc_position|metric_source|risk|proposed_action|required_before_action|blocked_actions|status","","Use this artifact only together with the matching focused decision-map summary."
"Medical Malpractice","protected-decision-map","reports\medical-malpractice-protected-url-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","178","group|path|mapped_target|role_or_topic|live_or_route_status|gsc_clicks|gsc_impressions|gsc_position|metric_source|risk|proposed_action|required_before_action|blocked_actions|status","","Use this artifact only together with the matching focused decision-map summary."
"Medical Malpractice","cannibalization-decision-map","reports\medical-malpractice-cannibalization-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","1","source|query|page_count|total_clicks|total_impressions|pages|positions|risk|proposed_action|status","","Use this artifact only together with the matching focused decision-map summary."
"Medical Malpractice","decision-map-summary","reports\medical-malpractice-gsc-decision-map-2026-05-22.json","BLOCKED_DECISION_MAP_NOT_FOCUSED","BLOCKED","Decision-map summary is not from a focused GSC export. inputMode=BASELINE_DASHBOARD_NOT_FINAL; finality=NOT_FINAL_BASELINE_FROM_DASHBOARD_RUN_FOCUSED_GSC_EXPORT_NEXT.","0","generatedAt|inputMode|reportDate|finality|outputs|decisionRows|targetRows|protectedRows|cannibalizationRows","","Run the real focused GSC export and rebuild the decision map before using it."
