url,status,http_status,title,lead_cta_count,contextual_cta_url_count,duplicate_sidebar_count,no_sidebar_layout,evidence,next_step
https://jus-tice.co.il/wp-content/themes/justice-theme/deployment-marker.txt,PASS,200,deployment marker,,,,,justice-theme-deployment-marker=2026-05-27-connected-lawyer-article-cta-dedupe-v1 | expected-github-main-commit=connected-lawyer-article-cta-dedupe-v1 | purpose=single-article-connected-lawyer-sidebar-cta-dedupe,Live marker must include the article duplicate CTA guard commit or a later marker.
https://jus-tice.co.il/find-lawyer-how-to-find-good-attorney/,PASS,200,איך למצוא עורך דין מומלץ? כיצד לבחור עו&quot;ד טוב | Jus-Tice.co.il,1,1,0,yes,article_layout=true; sidebar_lead_cards=0; contextual_cta_urls=1; no_sidebar_layout=true,Use this as the post-deploy proof for the owner-reported mobile duplicate CTA issue.
https://jus-tice.co.il/most-recommended-family-lawyer/,PASS,200,המלצות 2026 עורך דין לענייני משפחה מומלץ | התייעצות עם עורך דין לענייני משפחה וירושה | Jus-Tice.co.il,1,1,0,yes,article_layout=true; sidebar_lead_cards=0; contextual_cta_urls=1; no_sidebar_layout=true,Use this as the post-deploy proof for the owner-reported mobile duplicate CTA issue.
https://jus-tice.co.il/experienced-family-law-attorney/,PASS,200,עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם - נתונים עדכניים בדיני המשפחה | Jus-Tice.co.il,1,1,0,yes,article_layout=true; sidebar_lead_cards=0; contextual_cta_urls=1; no_sidebar_layout=true,Use this as the post-deploy proof for the owner-reported mobile duplicate CTA issue.
https://jus-tice.co.il/domestic-violence/,PASS,200,"אלימות במשפחה | צו הגנה, זכויות, עונשים והגנה משפטית | Jus-Tice.co.il",1,1,0,yes,article_layout=true; sidebar_lead_cards=0; contextual_cta_urls=1; no_sidebar_layout=true,Use this as the post-deploy proof for the owner-reported mobile duplicate CTA issue.
https://jus-tice.co.il/rabbinical-agreement-approval/,PASS,200,מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים | Jus-Tice.co.il,1,1,0,yes,article_layout=true; sidebar_lead_cards=0; contextual_cta_urls=1; no_sidebar_layout=true,Use this as the post-deploy proof for the owner-reported mobile duplicate CTA issue.
