priority,recommendation,cluster,title,candidate_url,post_id,post_type,live_status,clicks,impressions,reasons,gsc_risk,gsc_matched,gsc_top_queries,status,safety_gate
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","איפה הכי זול לקנות דירה בעולם | השקעות נדל”ן בחו”ל לישראלים","https://jus-tice.co.il/low-value-invest-abroad","10870","articles","200","128","37005","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","family-law-divorce","הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם","https://jus-tice.co.il/free-divorce-agreement-template","3130","articles","200","185","36900","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","עורך דין קניית דירה | עו”ד מכירת דירה | מומחה בעסקאות מקרקעין","https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house","1142","articles","200","3","35650","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","מחיקת רישום משטרתי | ביטול רישום של תיקים סגורים","https://jus-tice.co.il/police-records-data-deletion","888","articles","200","8","34081","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","מיהו שופט? סוגי שופטים | מהו תפקידו של שופט בית משפט","https://jus-tice.co.il/court-judge","6913","articles","200","235","33846","gsc_do_not_touch_high_traffic_url","HIGH","YES","ארז מלמד שופט (1c/1i/p21.0) | נאיל מהנא (1c/1i/p46.0) | שופט (0c/15i/p10.5) | מה ההבדל בין רשם לשופט (0c/8i/p1.0) | רשימת שופטים (0c/3i/p17.7)","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","ארצות הברית (ארה”ב) | דסק ארצות הברית USA","https://jus-tice.co.il/about-usa","10771","articles","200","41","33775","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","UNKNOWN","UNKNOWN","https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A6%D7%91%D7%90%D7%99","","gsc-url","","34","33065","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","מה זה מרב״ד?- מידע על המכון הרפואי לבטיחות בדרכים","https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info","3263","articles","200","79","32854","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","UNKNOWN","https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D","","gsc-url","","107","31186","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","רכישת נכס ביוון | תהליך קניית בית ביוון | כמה עולה דירה ביוון","https://jus-tice.co.il/buying-property-in-greece","8932","articles","200","40","30418","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","employment-law","עורך דין דיני עבודה | ייעוץ משפטי בדיני עבודה","https://jus-tice.co.il/labor-lawyer","341","articles","200","3","29862","gsc_do_not_touch_high_traffic_url","HIGH","YES","התייעצות עם עורך דין לענייני עבודה (0c/10i/p47.7) | ייעוץ עורך דין דיני עבודה (0c/7i/p87.1) | עורך דין זכויות עובדים (0c/5i/p84.4) | ייעוץ בדיני עבודה (0c/3i/p60.0) | עו ד מומלץ דיני עבודה (0c/3i/p92.3)","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
