"source_url","target_url","anchor_text","link_type","reason","priority","status"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/child-custody/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/child-support/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/consensual-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/divorce-lawyer/","","support_to_pillar","Extracted from public REST rendered content","HIGH","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/divorce-property-division/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/family-dispute-resolution/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-mediation/","https://jus-tice.co.il/lawyers/?area=family-law","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/child-custody/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/child-support/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/divorce-lawyer/","","support_to_pillar","Extracted from public REST rendered content","HIGH","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/divorce-mediation/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/divorce-property-division/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/family-dispute-resolution/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/consensual-divorce/","https://jus-tice.co.il/lawyers/?area=family-law","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/child-custody/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/child-support/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/consensual-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/divorce-mediation/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/divorce-property-division/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/family-dispute-resolution/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-lawyer/","https://jus-tice.co.il/lawyers/?area=family-law","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/federal-bureau-of-investigation/","https://jus-tice.co.il/federal-bureau-of-investigation/attachment/fbi/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/lahav-433/","https://jus-tice.co.il/lahav-433/attachment/%D7%9C%D7%94%D7%91-433-2025/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/tax-investigation-guide/","https://jus-tice.co.il/tax-investigation-guide/attachment/%D7%97%D7%A7%D7%99%D7%A8%D7%AA-%D7%9E%D7%A1-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/global-tax-consulting-services/","https://jus-tice.co.il/global-tax-consulting-services/attachment/%D7%9E%D7%99%D7%A1%D7%95%D7%99-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/tax-offenses-criminal-lawyer/","https://jus-tice.co.il/tax-offenses-criminal-lawyer/attachment/tax-offenses-criminal-law/","","support_to_pillar","Extracted from public REST rendered content","HIGH","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/fintech/","https://jus-tice.co.il/fintech/attachment/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%99%D7%A0%D7%98%D7%A7/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%95%D7%9D-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%A2%D7%95%D7%9C%D7%9D/","https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%95%D7%9D-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%A2%D7%95%D7%9C%D7%9D/attachment/%D7%A8%D7%A4%D7%95%D7%90%D7%94-%D7%95%D7%9E%D7%A9%D7%A4%D7%98/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
